"","MCCLIMONT, Francis","BARKER, Gerald","CLEARWATER, Philip","KING, Paul Anthony","MCEWIN, Stephanie","DONALD, Rodney","CARTER, David","DYSON, Ruth Suzanne","Informal Candidate Votes"
"1",1,5,5,5,13,64,248,202,3
"2",1,1,0,0,2,9,31,26,0
"3",0,0,0,0,2,5,17,17,0
"4",2,4,11,6,8,74,162,149,4
"5",0,0,0,1,4,14,14,13,0
"6",0,0,0,0,0,8,29,16,0
"7",2,2,0,6,7,22,88,74,2
"8",0,0,1,0,0,4,15,11,2
"9",0,3,3,2,6,21,19,36,0
"10",1,3,2,8,4,7,26,35,1
"11",6,21,16,24,53,127,510,419,8
"12",10,15,27,35,59,107,497,513,12
"13",5,20,4,21,30,111,481,402,10
"14",5,22,19,18,34,92,346,371,10
"15",2,3,5,3,5,22,50,68,3
"16",1,1,0,5,2,17,26,30,0
"17",0,2,2,3,3,2,20,16,1
"18",0,2,2,1,2,13,10,22,0
"19",1,3,3,7,5,54,82,148,1
"20",4,8,5,6,12,56,133,155,0
"21",2,7,3,13,15,72,183,177,3
"22",13,13,23,41,43,60,518,621,13
"23",4,14,28,25,49,84,374,440,2
"24",15,23,33,49,62,104,620,716,15
"25",5,10,8,12,37,114,231,547,7
"26",0,0,2,1,0,4,11,19,0
"27",3,4,8,3,18,28,103,202,5
"28",8,11,42,13,17,47,194,306,11
"29",1,1,0,0,4,4,20,22,2
"30",2,3,3,13,11,59,121,138,1
"31",0,3,7,3,7,18,29,152,1
"32",6,2,2,2,13,14,25,109,4
"33",6,15,15,12,23,44,116,425,12
"34",18,5,28,11,24,181,152,712,8
"35",3,4,1,4,14,64,41,134,1
"36",1,0,1,1,3,14,72,26,0
"37",4,8,9,35,40,126,720,462,7
"38",3,20,9,34,28,89,442,369,5
"39",4,10,15,13,36,48,297,360,10
"40",1,3,0,3,2,6,10,18,1
"41",5,12,16,16,22,144,147,290,11
"42",2,5,12,11,30,79,153,301,10
"43",0,3,0,4,1,8,17,16,0
"44",5,14,7,33,49,162,565,565,6
"45",0,1,0,1,5,7,22,15,1
"46",0,5,3,6,6,28,60,71,4
"47",0,0,0,1,0,5,3,10,0
"48",0,1,0,1,3,4,20,23,0
"49",6,19,22,19,44,130,225,437,5
"50",3,10,4,18,41,111,206,348,5
"51",7,6,11,19,28,90,194,292,3
"52",2,9,10,18,41,156,382,444,4
"53",2,6,5,25,35,188,437,504,9
"54",0,0,2,2,1,9,13,29,1
"55",0,2,2,8,8,19,96,60,1
"56",1,8,8,17,21,22,268,155,4
"57",3,2,9,6,19,45,30,160,2
"58",4,9,23,11,19,51,56,265,7
"59",9,22,47,24,42,124,255,871,12
"60",7,7,30,16,32,89,100,481,8
"61",3,7,10,1,3,5,81,191,10
"62",8,21,20,45,38,167,710,716,20
"63",3,4,7,6,16,46,150,210,2
"64",23,31,48,77,83,460,784,929,33
"65",1,1,8,10,0,65,119,172,3
